index,roi_id,name,short,hemi,network,attribution,abs_attribution
53,2002,R SMG posterior,R SMG posterior,R,Salience,-0.1057925671339035,0.1057925671339035
51,1902,R SMG anterior,R SMG anterior,R,Salience,-0.10501118004322052,0.10501118004322052
106,4602,R Planum Temporale,R Planum Temporale,R,Auditory,-0.09872113168239594,0.09872113168239594
104,4502,R Heschl's Gyrus,R Heschl's Gyrus,R,Auditory,-0.09846048057079315,0.09846048057079315
17,202,R Insular Cortex,R Insular Cortex,R,Salience,-0.09777884930372238,0.09777884930372238
100,4302,R Parietal Operculum,R Parietal Operculum,R,Somatomotor,-0.08754848688840866,0.08754848688840866
49,1802,R Superior Parietal Lobule,R Superior Parietal Lobule,R,DorsalAttention,-0.08627790957689285,0.08627790957689285
97,4201,L Central Opercular Cortex,L Central Opercular Cortex,L,Somatomotor,-0.08324559777975082,0.08324559777975082
101,4401,L Planum Polare,L Planum Polare,L,Auditory,-0.08270984143018723,0.08270984143018723
103,4501,L Heschl's Gyrus,L Heschl's Gyrus,L,Auditory,-0.07751314342021942,0.07751314342021942
72,3001,L Cingulate posterior,L Cingulate posterior,L,Default,0.07647984474897385,0.07647984474897385
19,302,R Superior Frontal Gyrus,R Superior Frontal Gyrus,R,Frontoparietal,-0.07121481746435165,0.07121481746435165
45,1602,R ITG temporooccipital,R ITG temporooccipital,R,Visual,0.0686970129609108,0.0686970129609108
73,3002,R Cingulate posterior,R Cingulate posterior,R,Default,0.06847836077213287,0.06847836077213287
98,4202,R Central Opercular Cortex,R Central Opercular Cortex,R,Somatomotor,-0.06538423150777817,0.06538423150777817
65,2602,R SMA / Juxtapositional,R SMA / Juxtapositional,R,Somatomotor,-0.06417933106422424,0.06417933106422424
12,54,Right Amygdala,R Amygdala,R,Limbic,0.06411603838205338,0.06411603838205338
7,49,Right Thalamus,R Thalamus,R,Subcortical,0.06408791989088058,0.06408791989088058
55,2102,R Angular Gyrus,R Angular Gyrus,R,Default,-0.06339535862207413,0.06339535862207413
9,51,Right Putamen,R Putamen,R,Subcortical,0.06326267123222351,0.06326267123222351
69,2802,R Paracingulate Gyrus,R Paracingulate Gyrus,R,Salience,0.06212262436747551,0.06212262436747551
95,4101,L Frontal Operculum,L Frontal Operculum,L,Salience,-0.06059490516781807,0.06059490516781807
5,18,Left Amygdala,L Amygdala,L,Limbic,0.06013289839029312,0.06013289839029312
37,1202,R MTG posterior,R MTG posterior,R,Default,0.059563081711530685,0.059563081711530685
75,3102,R Precuneous Cortex,R Precuneous Cortex,R,Default,0.05920099839568138,0.05920099839568138
40,1401,L ITG anterior,L ITG anterior,L,Limbic,0.059194840490818024,0.059194840490818024
102,4402,R Planum Polare,R Planum Polare,R,Auditory,-0.058719370514154434,0.058719370514154434
52,2001,L SMG posterior,L SMG posterior,L,Salience,-0.05662641301751137,0.05662641301751137
36,1201,L MTG posterior,L MTG posterior,L,Default,0.055050838738679886,0.055050838738679886
2,12,Left Putamen,L Putamen,L,Subcortical,-0.05303215980529785,0.05303215980529785
96,4102,R Frontal Operculum,R Frontal Operculum,R,Salience,0.05026743933558464,0.05026743933558464
10,52,Right Pallidum,R Pallidum,R,Subcortical,0.0492633618414402,0.0492633618414402
58,2301,L LOC inferior,L LOC inferior,L,Visual,0.048037320375442505,0.048037320375442505
11,53,Right Hippocampus,R Hippocampus,R,Limbic,0.047172870486974716,0.047172870486974716
70,2901,L Cingulate anterior,L Cingulate anterior,L,Salience,-0.04681124910712242,0.04681124910712242
8,50,Right Caudate,R Caudate,R,Subcortical,0.045593250542879105,0.045593250542879105
35,1102,R MTG anterior,R MTG anterior,R,Default,0.04540000110864639,0.04540000110864639
42,1501,L ITG posterior,L ITG posterior,L,Limbic,0.04528413712978363,0.04528413712978363
20,401,L Middle Frontal Gyrus,L Middle Frontal Gyrus,L,Frontoparietal,-0.0445488877594471,0.0445488877594471
32,1001,L STG posterior,L STG posterior,L,Auditory,-0.04331281781196594,0.04331281781196594
74,3101,L Precuneous Cortex,L Precuneous Cortex,L,Default,0.04311152920126915,0.04311152920126915
