src_index,src,dst_index,dst,attribution,abs_attribution
62,L Frontal Medial Cortex,95,L Frontal Operculum,0.003025,0.003025
62,L Frontal Medial Cortex,66,L Subcallosal Cortex,-0.002778,0.002778
13,R Accumbens,66,L Subcallosal Cortex,-0.002500,0.002500
76,L Cuneal Cortex,77,R Cuneal Cortex,0.002392,0.002392
52,L SMG posterior,62,L Frontal Medial Cortex,0.002389,0.002389
62,L Frontal Medial Cortex,64,L SMA / Juxtapositional,0.002321,0.002321
16,L Insular Cortex,95,L Frontal Operculum,-0.002301,0.002301
17,R Insular Cortex,62,L Frontal Medial Cortex,0.002197,0.002197
62,L Frontal Medial Cortex,63,R Frontal Medial Cortex,-0.002179,0.002179
17,R Insular Cortex,101,L Planum Polare,-0.002158,0.002158
62,L Frontal Medial Cortex,97,L Central Opercular Cortex,0.002134,0.002134
2,L Putamen,62,L Frontal Medial Cortex,0.002118,0.002118
17,R Insular Cortex,95,L Frontal Operculum,-0.002093,0.002093
75,R Precuneous Cortex,77,R Cuneal Cortex,0.002064,0.002064
95,L Frontal Operculum,97,L Central Opercular Cortex,-0.002027,0.002027
19,R Superior Frontal Gyrus,95,L Frontal Operculum,0.002005,0.002005
2,L Putamen,95,L Frontal Operculum,-0.001992,0.001992
17,R Insular Cortex,97,L Central Opercular Cortex,-0.001974,0.001974
26,L Precentral Gyrus,52,L SMG posterior,-0.001942,0.001942
37,R MTG posterior,95,L Frontal Operculum,0.001921,0.001921
52,L SMG posterior,84,R Parahippocampal posterior,0.001911,0.001911
2,L Putamen,97,L Central Opercular Cortex,-0.001897,0.001897
26,L Precentral Gyrus,62,L Frontal Medial Cortex,0.001881,0.001881
97,L Central Opercular Cortex,101,L Planum Polare,-0.001877,0.001877
66,L Subcallosal Cortex,84,R Parahippocampal posterior,-0.001861,0.001861
97,L Central Opercular Cortex,98,R Central Opercular Cortex,-0.001813,0.001813
16,L Insular Cortex,62,L Frontal Medial Cortex,0.001804,0.001804
13,R Accumbens,62,L Frontal Medial Cortex,-0.001791,0.001791
62,L Frontal Medial Cortex,84,R Parahippocampal posterior,-0.001770,0.001770
95,L Frontal Operculum,101,L Planum Polare,-0.001765,0.001765
52,L SMG posterior,66,L Subcallosal Cortex,0.001765,0.001765
2,L Putamen,17,R Insular Cortex,-0.001765,0.001765
26,L Precentral Gyrus,84,R Parahippocampal posterior,0.001763,0.001763
62,L Frontal Medial Cortex,98,R Central Opercular Cortex,0.001756,0.001756
37,R MTG posterior,62,L Frontal Medial Cortex,-0.001748,0.001748
72,L Cingulate posterior,76,L Cuneal Cortex,0.001744,0.001744
59,R LOC inferior,72,L Cingulate posterior,0.001737,0.001737
35,R MTG anterior,62,L Frontal Medial Cortex,-0.001732,0.001732
2,L Putamen,16,L Insular Cortex,-0.001711,0.001711
62,L Frontal Medial Cortex,101,L Planum Polare,0.001708,0.001708
