index,roi_id,abbr,name,short,hemi,network,network_abbr,attribution,abs_attribution
9,51,R.PUT,Right Putamen,R Putamen,R,Subcortical,SCN,0.10479638992234057,0.10479638992234057
19,302,R.SFG,R Superior Frontal Gyrus,R Superior Frontal Gyrus,R,Frontoparietal,FPN,-0.099073301331768,0.099073301331768
5,18,L.AMYG,Left Amygdala,L Amygdala,L,Limbic,BLN,0.09655430357779715,0.09655430357779715
10,52,R.PAL,Right Pallidum,R Pallidum,R,Subcortical,SCN,0.08973639145101495,0.08973639145101495
12,54,R.AMYG,Right Amygdala,R Amygdala,R,Limbic,BLN,0.08740850402127803,0.08740850402127803
55,2102,R.ANG,R Angular Gyrus,R Angular Gyrus,R,Default,DMN,-0.07913650372086016,0.07913650372086016
104,4502,R.HES,R Heschl's Gyrus,R Heschl's Gyrus,R,Auditory,AN,-0.07804936456898458,0.07804936456898458
4,17,L.HIP,Left Hippocampus,L Hippocampus,L,Limbic,BLN,0.07549525654564082,0.07549525654564082
106,4602,R.PT,R Planum Temporale,R Planum Temporale,R,Auditory,AN,-0.06883948668732194,0.06883948668732194
86,3602,R.LING,R Lingual Gyrus,R Lingual Gyrus,R,Visual,VN,-0.05982119767456396,0.05982119767456396
66,2701,L.SCC,L Subcallosal Cortex,L Subcallosal Cortex,L,Limbic,BLN,-0.05793142166188098,0.05793142166188098
18,301,L.SFG,L Superior Frontal Gyrus,L Superior Frontal Gyrus,L,Frontoparietal,FPN,-0.057661969540762525,0.057661969540762525
20,401,L.MFG,L Middle Frontal Gyrus,L Middle Frontal Gyrus,L,Frontoparietal,FPN,-0.05736174861593766,0.05736174861593766
107,4701,L.SCLC,L Supracalcarine Cortex,L Supracalcarine Cortex,L,Visual,VN,-0.05682199128410725,0.05682199128410725
56,2201,L.sLOC,L LOC superior,L LOC superior,L,Visual,VN,-0.055820120822021826,0.055820120822021826
103,4501,L.HES,L Heschl's Gyrus,L Heschl's Gyrus,L,Auditory,AN,-0.0550725135553999,0.0550725135553999
43,1502,R.pITG,R ITG posterior,R ITG posterior,R,Limbic,BLN,-0.054827390754725376,0.054827390754725376
48,1801,L.SPL,L Superior Parietal Lobule,L Superior Parietal Lobule,L,DorsalAttention,DAN,-0.054138800834366785,0.054138800834366785
54,2101,L.ANG,L Angular Gyrus,L Angular Gyrus,L,Default,DMN,-0.052818764477809164,0.052818764477809164
6,26,L.NAC,Left Accumbens,L Accumbens,L,Subcortical,SCN,0.05204140067228134,0.05204140067228134
7,49,R.THA,Right Thalamus,R Thalamus,R,Subcortical,SCN,0.051686095850634634,0.051686095850634634
59,2302,R.iLOC,R LOC inferior,R LOC inferior,R,Visual,VN,-0.050258792173525975,0.050258792173525975
57,2202,R.sLOC,R LOC superior,R LOC superior,R,Visual,VN,-0.04939903000433736,0.04939903000433736
77,3202,R.CUN,R Cuneal Cortex,R Cuneal Cortex,R,Visual,VN,-0.04856571895183917,0.04856571895183917
96,4102,R.FOpe,R Frontal Operculum,R Frontal Operculum,R,Salience,SN,0.048467788860371126,0.048467788860371126
75,3102,R.PCUN,R Precuneous Cortex,R Precuneous Cortex,R,Default,DMN,0.047153975534379645,0.047153975534379645
53,2002,R.pSMG,R SMG posterior,R SMG posterior,R,Salience,SN,-0.04713521797643046,0.04713521797643046
0,10,L.THA,Left Thalamus,L Thalamus,L,Subcortical,SCN,0.04519918958958524,0.04519918958958524
14,101,L.FP,L Frontal Pole,L Frontal Pole,L,Frontoparietal,FPN,-0.04469358279137896,0.04469358279137896
49,1802,R.SPL,R Superior Parietal Lobule,R Superior Parietal Lobule,R,DorsalAttention,DAN,-0.043822326845614094,0.043822326845614094
101,4401,L.PP,L Planum Polare,L Planum Polare,L,Auditory,AN,-0.04301742126857567,0.04301742126857567
51,1902,R.aSMG,R SMG anterior,R SMG anterior,R,Salience,SN,-0.0425065515367791,0.0425065515367791
3,13,L.PAL,Left Pallidum,L Pallidum,L,Subcortical,SCN,0.04209649120263637,0.04209649120263637
61,2402,R.CALC,R Intracalcarine Cortex,R Intracalcarine Cortex,R,Visual,VN,-0.04206482830710533,0.04206482830710533
91,3901,L.TOFus,L Temporal Occipital Fusiform,L Temporal Occipital Fusiform,L,Visual,VN,-0.040786313759102445,0.040786313759102445
72,3001,L.PCC,L Cingulate posterior,L Cingulate posterior,L,Default,DMN,0.04071024831128807,0.04071024831128807
45,1602,R.toITG,R ITG temporooccipital,R ITG temporooccipital,R,Visual,VN,0.038677965145889094,0.038677965145889094
16,201,L.INS,L Insular Cortex,L Insular Cortex,L,Salience,SN,0.038532897965849286,0.038532897965849286
1,11,L.CAU,Left Caudate,L Caudate,L,Subcortical,SCN,0.03790775531842265,0.03790775531842265
88,3702,R.aTFus,R Temporal Fusiform anterior,R Temporal Fusiform anterior,R,Limbic,BLN,0.03714173989477399,0.03714173989477399
11,53,R.HIP,Right Hippocampus,R Hippocampus,R,Limbic,BLN,0.03623772342376568,0.03623772342376568
97,4201,L.COpe,L Central Opercular Cortex,L Central Opercular Cortex,L,Somatomotor,SMN,-0.035626535390477894,0.035626535390477894
73,3002,R.PCC,R Cingulate posterior,R Cingulate posterior,R,Default,DMN,0.03548048950460931,0.03548048950460931
17,202,R.INS,R Insular Cortex,R Insular Cortex,R,Salience,SN,-0.034523978004204654,0.034523978004204654
64,2601,L.SMA,L SMA / Juxtapositional,L SMA / Juxtapositional,L,Somatomotor,SMN,0.03426357102162248,0.03426357102162248
21,402,R.MFG,R Middle Frontal Gyrus,R Middle Frontal Gyrus,R,Frontoparietal,FPN,-0.03404288995998245,0.03404288995998245
71,2902,R.ACC,R Cingulate anterior,R Cingulate anterior,R,Salience,SN,0.033936708593274606,0.033936708593274606
100,4302,R.POpe,R Parietal Operculum,R Parietal Operculum,R,Somatomotor,SMN,-0.032637887447598345,0.032637887447598345
60,2401,L.CALC,L Intracalcarine Cortex,L Intracalcarine Cortex,L,Visual,VN,-0.032333874565085345,0.032333874565085345
40,1401,L.aITG,L ITG anterior,L ITG anterior,L,Limbic,BLN,0.03150249676926506,0.03150249676926506
63,2502,R.mPFC,R Frontal Medial Cortex,R Frontal Medial Cortex,R,Default,DMN,-0.030960312334794488,0.030960312334794488
27,702,R.PreCG,R Precentral Gyrus,R Precentral Gyrus,R,Somatomotor,SMN,0.030608887842761067,0.030608887842761067
69,2802,R.PaCiG,R Paracingulate Gyrus,R Paracingulate Gyrus,R,Salience,SN,0.028411031888234455,0.028411031888234455
110,4802,R.OP,R Occipital Pole,R Occipital Pole,R,Visual,VN,-0.026812570169148293,0.026812570169148293
67,2702,R.SCC,R Subcallosal Cortex,R Subcallosal Cortex,R,Limbic,BLN,0.026557655524341015,0.026557655524341015
8,50,R.CAU,Right Caudate,R Caudate,R,Subcortical,SCN,0.026266070292905782,0.026266070292905782
105,4601,L.PT,L Planum Temporale,L Planum Temporale,L,Auditory,AN,-0.025296917409820183,0.025296917409820183
62,2501,L.mPFC,L Frontal Medial Cortex,L Frontal Medial Cortex,L,Default,DMN,-0.024599076855795158,0.024599076855795158
89,3801,L.pTFus,L Temporal Fusiform posterior,L Temporal Fusiform posterior,L,Limbic,BLN,-0.024481159334317663,0.024481159334317663
52,2001,L.pSMG,L SMG posterior,L SMG posterior,L,Salience,SN,-0.024344035075984424,0.024344035075984424
32,1001,L.pSTG,L STG posterior,L STG posterior,L,Auditory,AN,-0.02394378793891256,0.02394378793891256
98,4202,R.COpe,R Central Opercular Cortex,R Central Opercular Cortex,R,Somatomotor,SMN,-0.023710600949670566,0.023710600949670566
108,4702,R.SCLC,R Supracalcarine Cortex,R Supracalcarine Cortex,R,Visual,VN,-0.02344344248438459,0.02344344248438459
68,2801,L.PaCiG,L Paracingulate Gyrus,L Paracingulate Gyrus,L,Salience,SN,-0.022755154975755233,0.022755154975755233
102,4402,R.PP,R Planum Polare,R Planum Polare,R,Auditory,AN,-0.022392517989083895,0.022392517989083895
47,1702,R.PostCG,R Postcentral Gyrus,R Postcentral Gyrus,R,Somatomotor,SMN,-0.020858956455651827,0.020858956455651827
85,3601,L.LING,L Lingual Gyrus,L Lingual Gyrus,L,Visual,VN,-0.019570899823993716,0.019570899823993716
29,802,R.TP,R Temporal Pole,R Temporal Pole,R,Limbic,BLN,-0.017650140079417332,0.017650140079417332
2,12,L.PUT,Left Putamen,L Putamen,L,Subcortical,SCN,0.017026069722968266,0.017026069722968266
